image_name,target
ISIC_0052060,7.3169787e-07
ISIC_0052349,3.1994146e-05
ISIC_0058510,2.1015087e-05
ISIC_0073313,5.4186658e-05
ISIC_0073502,0.00015608312
ISIC_0074618,0.0023450623
ISIC_0076801,0.00078476174
ISIC_0077586,0.0032937613
ISIC_0082004,0.0002364215
ISIC_0082785,0.0014765948
ISIC_0085332,1.9714456e-05
ISIC_0087243,1.2270499e-05
ISIC_0088167,0.00044311164
ISIC_0089356,3.718821e-05
ISIC_0090283,0.002485346
ISIC_0092481,3.1587597e-06
ISIC_0095455,4.9731283e-05
ISIC_0095790,7.456416e-05
ISIC_0097719,0.2827359
ISIC_0099348,0.001686729
ISIC_0101040,0.0030622003
ISIC_0101383,0.0006132615
ISIC_0105104,0.034855366
ISIC_0108196,4.050273e-05
ISIC_0112420,0.7917815
ISIC_0114232,2.982233e-08
ISIC_0115798,0.00057481223
ISIC_0116844,2.4058747e-07
ISIC_0126432,0.00023734574
ISIC_0131485,5.475422e-07
ISIC_0131912,9.0546e-06
ISIC_0131978,4.1838547e-07
ISIC_0139322,0.006679777
ISIC_0142066,0.001305743
ISIC_0143109,0.000257593
ISIC_0148210,0.003840371
ISIC_0148937,0.055898167
ISIC_0150213,0.0025142753
ISIC_0152553,2.4609963e-05
ISIC_0153127,0.00013795213
ISIC_0154289,0.00013875253
ISIC_0155813,0.021259692
ISIC_0155983,0.39658538
ISIC_0157088,9.241155e-06
ISIC_0158761,8.6890184e-05
ISIC_0161963,0.08572103
ISIC_0165178,0.0070694247
ISIC_0165230,0.0021285962
ISIC_0165615,2.8438879e-05
ISIC_0165617,0.00014735722
ISIC_0165674,2.4567233e-05
ISIC_0165928,0.0004917664
ISIC_0166561,0.00016197887
ISIC_0168125,0.00066406914
ISIC_0169378,0.0077367057
ISIC_0169575,0.00042213133
ISIC_0169906,0.034763373
ISIC_0171865,0.007912866
ISIC_0172678,9.971739e-07
ISIC_0174800,0.0007724005
ISIC_0175014,0.0016050746
ISIC_0175798,0.061614837
ISIC_0176152,0.0019400909
ISIC_0177083,5.356418e-06
ISIC_0178235,0.6739439
ISIC_0178258,7.072579e-05
ISIC_0178428,0.0021638176
ISIC_0178741,0.015326939
ISIC_0180057,0.0029870945
ISIC_0182213,0.09411985
ISIC_0183334,9.727199e-05
ISIC_0183449,0.027887195
ISIC_0183658,0.0001589547
ISIC_0183771,0.00036729703
ISIC_0186715,0.005633169
ISIC_0187786,9.291523e-06
ISIC_0188485,0.00012239537
ISIC_0191895,0.02480942
ISIC_0192184,0.00043321354
ISIC_0192807,4.1018167e-05
ISIC_0193289,0.05752223
ISIC_0194115,4.9968403e-05
ISIC_0195744,0.056076255
ISIC_0195995,0.00010459071
ISIC_0196159,0.006123939
ISIC_0196622,0.00016731897
ISIC_0196807,0.0020017899
ISIC_0197182,0.00016254402
ISIC_0197440,0.25671226
ISIC_0197860,0.00053170545
ISIC_0198376,2.6332727e-05
ISIC_0198622,4.8859783e-06
ISIC_0199195,0.00035629646
ISIC_0199718,6.344294e-06
ISIC_0199780,4.6117835e-05
ISIC_0200120,0.017781835
ISIC_0204399,9.364335e-06
ISIC_0204875,0.00013955787
ISIC_0205627,0.000101168924
ISIC_0206261,8.121532e-05
ISIC_0206934,0.004963215
ISIC_0207197,0.00040544302
ISIC_0208233,0.4501512
ISIC_0209640,1.6907352e-05
ISIC_0210915,0.0018269472
ISIC_0212435,0.0007750289
ISIC_0212468,1.552991e-05
ISIC_0213848,0.00016493982
ISIC_0216203,0.0002616583
ISIC_0216447,0.07450857
ISIC_0220438,0.015465081
ISIC_0220466,0.0039347825
ISIC_0223354,7.026587e-08
ISIC_0223463,0.001963675
ISIC_0223760,8.87169e-07
ISIC_0224309,5.4408527e-05
ISIC_0225471,0.0009076359
ISIC_0225894,0.00028909737
ISIC_0226234,9.902564e-05
ISIC_0227767,1.3554941e-05
ISIC_0228452,0.0038126153
ISIC_0229266,0.0003266249
ISIC_0230247,0.00013148709
ISIC_0230499,0.0056038965
ISIC_0231539,0.0013099639
ISIC_0231788,4.174411e-06
ISIC_0232763,0.0007812219
ISIC_0235107,0.0036296118
ISIC_0235501,0.014596468
ISIC_0235505,0.00022036051
ISIC_0235542,0.00013924456
ISIC_0238185,0.000104865474
ISIC_0238872,0.005028857
ISIC_0239635,0.0013885389
ISIC_0240839,0.000148258
ISIC_0241566,0.046772454
ISIC_0243686,0.003817088
ISIC_0243937,0.00016556011
ISIC_0244266,0.0011741747
ISIC_0244465,4.46186e-05
ISIC_0244617,0.0002119635
ISIC_0244885,0.00075292017
ISIC_0245273,2.7681253e-06
ISIC_0246008,1.124745e-05
ISIC_0246211,8.442549e-06
ISIC_0248702,0.00048304937
ISIC_0251455,0.4633927
ISIC_0251656,0.00031805816
ISIC_0252811,0.0012884063
ISIC_0254594,9.118096e-06
ISIC_0255112,0.0006021031
ISIC_0256267,3.2195485e-06
ISIC_0258149,0.006568088
ISIC_0258489,0.0001596593
ISIC_0258717,1.52055645e-05
ISIC_0259209,0.09776481
ISIC_0259237,0.00080923457
ISIC_0261866,0.016040357
ISIC_0261904,7.75572e-05
ISIC_0261907,3.6656962e-05
ISIC_0262392,2.9168423e-05
ISIC_0262492,0.0011660364
ISIC_0263920,6.6609273e-06
ISIC_0265011,3.435382e-05
ISIC_0267082,0.00031055562
ISIC_0268025,8.258411e-05
ISIC_0268451,0.005003296
ISIC_0269476,0.00039070248
ISIC_0270022,0.002535577
ISIC_0270367,0.0004263382
ISIC_0271223,1.6114053e-06
ISIC_0272190,0.0019011901
ISIC_0273533,0.00070652884
ISIC_0274458,0.0009232836
ISIC_0274698,0.002283875
ISIC_0274789,0.22117737
ISIC_0276718,0.0008593473
ISIC_0280382,1.7179545e-05
ISIC_0280752,0.0008837629
ISIC_0280782,0.018716488
ISIC_0280827,0.005548499
ISIC_0281227,0.0001182181
ISIC_0282269,0.00011570282
ISIC_0282486,0.0008335675
ISIC_0282737,0.0005230953
ISIC_0284147,2.5881716e-06
ISIC_0284441,0.015494801
ISIC_0284485,0.0006538625
ISIC_0285491,0.00015538586
ISIC_0285697,0.002322487
ISIC_0286688,7.659333e-05
ISIC_0287132,1.3395859e-05
ISIC_0287325,0.080895126
ISIC_0288225,1.8289516e-05
ISIC_0290187,8.201037e-05
ISIC_0291705,7.151483e-06
ISIC_0292996,0.0048081344
ISIC_0294150,0.0037261446
ISIC_0296540,0.0007644711
ISIC_0297539,0.00026478578
ISIC_0297702,0.00014431798
ISIC_0298417,0.004110472
ISIC_0299870,0.019822747
